----system---- --total-cpu-usage-- -dsk/total- ------memory-usage----- ------tcp-sockets------- -net/total-
     time     |usr sys idl wai stl| read  writ| used  free  buff  cach|lis  act  syn  tim  clo | recv  send
17-06 08:43:29|  6   1  93   1   0|  99k  436k|1763M  858M  218M 4573M|  7    4    0    6    0 |   0     0 
17-06 08:43:30|  5   4  78  14   0|   0  1600k|1770M  851M  218M 4573M|  7    7    0    6    0 |  15k   15k
17-06 08:43:31|  3   2  61  35   0|   0  2500k|1767M  854M  218M 4573M|  7    6    0    6    0 |  12k   15k
17-06 08:43:32| 30  14  18  38   0|9552k 2332k|1874M  737M  218M 4582M|  7    6    0    6    0 |3798B 8772B
17-06 08:43:33| 62  12  27   0   0|1308k    0 |2055M  555M  218M 4584M|  7    6    0    6    0 | 377k  389k
17-06 08:43:34| 88   7   5   0   0|  20k  464k|2071M  539M  218M 4584M|  7    6    0    6    0 |1384k 1387k
17-06 08:43:35| 85   8   6   0   0|  16k  212k|2077M  533M  218M 4584M|  7    5    0    7    0 |1392k 1398k
17-06 08:43:36| 98   2   0   0   0|   0     0 |1956M  654M  218M 4584M|  7    4    0    8    0 | 464k  478k
17-06 08:43:37| 96   3   1   0   0|   0   164k|1966M  644M  218M 4584M|  7    4    0    8    0 |1366k 1370k
17-06 08:43:38| 75   6  18   1   0|   0   332k|1978M  631M  218M 4584M|  7    4    0    8    0 |2271k 2270k
17-06 08:43:39| 89  11   0   0   0|   0     0 |2139M  471M  218M 4584M|  7    4    0    8    0 | 471k  484k
17-06 08:43:40| 96   4   0   0   0|   0   288k|2014M  595M  218M 4584M|  7    4    0    8    0 |1398k 1402k
17-06 08:43:41| 88  12   0   0   0|   0   348k|2162M  447M  218M 4584M|  7    4    0    8    0 | 498k  515k
17-06 08:43:42| 94   5   1   0   0|  24k  476k|2165M  445M  218M 4584M|  7    4    0    8    0 |1398k 1404k
17-06 08:43:43| 97   3   0   0   0|   0     0 |2041M  568M  218M 4584M|  7    4    0    8    0 | 467k  483k
17-06 08:43:44| 96   4   0   0   0|   0   168k|2185M  423M  218M 4584M|  7    4    0    8    0 |1321k 1332k
17-06 08:43:45| 96   4   0   0   0|   0   164k|2187M  421M  218M 4584M|  7    4    0    8    0 |1265k 1269k
17-06 08:43:46| 82   2  15   0   0|   0   164k|2058M  551M  218M 4584M|  7    4    0    8    0 |1260k 1271k
17-06 08:43:47| 78   6  16   1   0|   0   476k|2065M  543M  218M 4584M|  7    4    0    8    0 |2233k 2230k
17-06 08:43:48| 94   6   0   0   0|  16k  316k|2203M  405M  218M 4584M|  7    4    0    7    0 | 778k  790k
